county,pop_2023,felExp_2023,misdExp_2023,totalExp_2023,pop_2022,felExp_2022,misdExp_2022,totalExp_2022,pop_2021,felExp_2021,misdExp_2021,totalExp_2021,pop_2020,felExp_2020,misdExp_2020,totalExp_2020,pop_2019,felExp_2019,misdExp_2019,totalExp_2019
Anderson,"57,848","$541,921","$99,530","$686,636","57,954","$330,414","$72,169","$422,371","59,120","$299,489","$59,724","$377,197","59,120","$235,856","$83,625","$369,242","58,854","$320,446","$88,104","$458,368"
Andrews,"18,773","$192,147","$45,435","$271,944","18,675","$145,327","$50,086","$228,613","19,588","$148,775","$40,430","$217,800","19,588","$177,629","$35,840","$231,005","19,232","$117,208","$42,325","$185,526"
Angelina,"86,354","$248,756","$55,002","$376,045","86,554","$368,012","$44,687","$499,319","90,669","$221,025","$20,776","$333,444","90,669","$230,339","$26,781","$378,059","92,353","$310,224","$43,537","$468,271"
Aransas,"25,219","$269,188","$40,797","$350,736","24,693","$243,439","$51,187","$313,267","23,649","$139,748","$30,552","$185,538","23,649","$172,261","$49,742","$234,089","23,031","$192,957","$66,390","$277,457"
Archer,"8,712","$36,697","$5,130","$43,896","8,517","$44,757","$4,082","$65,631","9,135","$26,947","$3,800","$32,816","9,135","$37,622","$8,826","$48,667","9,625","$25,516","$6,038","$36,681"
Armstrong,"1,859","$2,004","$1,503","$17,507","1,823","$9,300",$600,"$10,900","2,028","$7,375",$0,"$8,375","2,028","$4,700",$600,"$6,300","1,949","$5,000","$1,700","$8,800"
Atascosa,"50,320","$343,657","$102,772","$2,409,351","49,657","$103,080","$127,976","$1,088,529","51,233","$139,685","$107,000","$2,163,341","51,233","$236,354","$144,523","$423,683","50,276","$300,202","$207,245","$562,957"
Austin,"31,331","$78,774","$52,221","$150,733","30,485","$59,140","$60,526","$139,402","32,344","$46,318","$73,016","$139,402","32,344","$50,846","$99,181","$169,777","31,724","$37,460","$65,681","$127,537"
Bailey,"6,777","$44,660","$20,741","$81,827","6,767","$41,190","$24,911","$79,424","7,082","$47,922","$25,605","$86,762","7,082","$41,973","$9,675","$64,795","7,256","$65,166","$5,550","$101,152"
Bandera,"22,169","$26,817","$2,418","$147,659","21,937","$40,598","$2,038","$151,278","23,360","$86,017","$11,200","$151,658","23,360","$101,974","$17,525","$127,354","22,874","$94,852","$12,340","$115,682"
Bastrop,"107,810","$590,471","$190,131","$796,261","104,146","$487,385","$142,721","$636,156","90,262","$259,578","$121,312","$389,003","90,262","$598,781","$146,885","$758,236","88,296","$657,688","$229,956","$904,819"
Baylor,"3,489","$29,974","$1,700","$32,674","3,475","$14,461","$2,250","$17,711","3,754","$13,955","$2,400","$17,355","3,754","$47,034",$300,"$48,334","3,740","$50,595",$400,"$52,240"
Bee,"30,360","$48,226","$4,267","$1,504,667","30,613","$42,701","$1,063","$1,339,766","33,571","$39,993",$0,"$1,328,722","33,571","$38,267",$408,"$1,331,398","33,039","$31,360",$906,"$1,121,518"
Bell,"388,804","$1,458,431","$1,170,370","$3,013,011","378,140","$1,261,154","$1,089,673","$2,671,541","362,093","$726,109","$901,837","$2,037,555","362,093","$1,114,974","$885,980","$2,610,809","356,587","$1,380,039","$1,075,070","$3,062,563"
Bexar,"2,062,280","$9,683,067","$2,692,629","$19,414,622","2,050,463","$7,847,853","$2,203,216","$14,362,470","2,006,193","$4,800,318","$2,089,410","$10,059,177","2,006,193","$6,643,498","$1,491,894","$11,265,989","1,991,779","$9,413,464","$2,749,958","$15,088,968"
Blanco,"12,735","$17,616",$900,"$60,379","12,171","$21,105","$1,000","$53,423","12,365","$32,203",$0,"$37,761","12,365","$44,605","$7,050","$56,788","11,835","$40,895","$9,955","$58,182"
Borden,550,$900,$0,"$4,750",624,"$1,200",$0,"$4,450",686,"$2,650",$0,"$3,650",686,$600,$0,"$1,600",666,$0,$0,"$1,000"
Bosque,"18,689","$51,479","$29,593","$93,876","18,315","$46,141","$29,235","$85,250","19,146","$46,649","$12,812","$69,910","19,146","$48,402","$12,511","$73,713","18,882","$52,138","$27,391","$102,068"
Bowie,"91,532","$378,377","$46,257","$1,357,824","91,083","$485,560","$24,125","$1,314,690","95,897","$95,868","$65,018","$1,037,990","95,897","$116,164","$46,750","$1,079,328","97,488","$133,704","$14,350","$935,386"
Brazoria,"392,273","$2,298,272","$830,307","$3,903,482","382,691","$2,152,740","$733,666","$3,429,919","382,874","$1,487,876","$590,519","$2,592,013","382,874","$1,405,066","$418,670","$2,358,580","383,058","$1,979,957","$624,400","$3,196,039"
Brazos,"243,443","$2,251,394","$1,332,864","$4,786,616","238,164","$1,220,051","$722,933","$2,358,172","233,071","$979,003","$498,078","$1,894,616","233,071","$1,254,572","$513,595","$2,189,039","228,292","$1,382,283","$655,938","$2,215,680"
Brewster,"9,361","$9,404",$995,"$96,278","9,457",$574,$0,"$84,810","9,055","$15,381",$256,"$87,973","9,055","$2,007",$880,"$93,633","9,128","$103,159",$391,"$171,091"
Briscoe,"1,438","$1,700",$300,"$3,000","1,400","$4,000",$700,"$5,700","1,599",$400,$200,"$1,600","1,599","$2,000",$100,"$3,100","1,535",$400,$400,"$1,800"
Brooks,"6,958","$23,988","$3,125","$33,763","6,910","$18,610",$775,"$22,185","7,060","$14,775",$550,"$27,125","7,060","$9,150","$2,800","$24,050","7,242","$30,388","$16,550","$58,238"
Brown,"38,014","$302,361","$90,497","$469,966","38,352","$353,827","$65,406","$518,155","38,874","$206,505","$53,750","$312,282","38,874","$194,176","$63,060","$338,654","39,470","$401,396","$85,106","$570,293"
Burleson,"19,224","$173,675","$51,525","$266,845","17,948","$231,719","$43,898","$325,106","18,361","$166,165","$41,385","$239,701","18,361","$164,796","$42,716","$253,097","18,381","$222,891","$39,100","$308,616"
Burnet,"53,077","$122,567","$33,903","$1,782,028","51,285","$69,678","$7,150","$1,224,035","49,225","$113,902","$7,913","$694,984","49,225","$75,288","$4,400","$657,400","48,190","$105,264","$7,045","$706,180"
Caldwell,"47,320","$214,056","$194,719","$435,817","47,434","$173,817","$39,030","$238,514","43,501","$125,431","$42,069","$201,168","43,501","$185,245","$93,320","$317,318","42,956","$169,181","$75,573","$278,414"
Calhoun,"19,705","$230,069","$36,680","$290,052","19,827","$127,190","$50,978","$196,912","22,058","$120,433","$35,702","$175,112","22,058","$92,452","$32,462","$147,525","21,915","$114,385","$34,963","$172,933"
Callahan,"14,605","$37,217","$10,625","$59,598","14,385","$40,444","$8,595","$50,904","14,027","$74,778","$10,560","$88,131","14,027","$81,328","$3,540","$86,543","14,102","$46,755","$1,145","$49,775"
Cameron,"424,884","$1,512,979","$1,013,623","$2,929,693","421,254","$868,296","$680,060","$1,815,584","426,144","$723,424","$443,661","$1,901,809","426,144","$729,018","$530,604","$2,023,724","425,849","$1,264,107","$932,775","$2,892,052"
Camp,"12,180","$76,597","$24,269","$120,901","12,533","$60,515","$40,960","$109,138","12,936","$67,752","$32,401","$105,211","12,936","$50,747","$44,881","$102,053","12,843","$27,896","$78,086","$109,883"
Carson,"5,687","$61,958","$1,556","$65,889","5,701","$43,569","$1,400","$50,715","5,875","$27,152","$1,182","$38,208","5,875","$47,780",$350,"$52,948","6,158","$84,245",$0,"$91,045"
Cass,"28,652","$172,354","$37,350","$214,904","28,712","$230,137","$28,200","$274,034","30,243","$167,104","$27,011","$214,149","30,243","$117,172","$41,464","$175,695","30,892","$210,623","$58,894","$287,928"
Castro,"7,263","$42,465",$700,"$48,553","7,202","$36,382",$0,"$37,897","7,260","$10,500",$0,"$12,015","7,260","$16,214",$0,"$18,465","7,672","$31,163",$900,"$34,810"
Chambers,"52,178","$450,824","$173,588","$670,435","50,709","$515,224","$109,980","$641,788","44,944","$260,373","$55,400","$368,202","44,944","$267,495","$61,150","$375,106","43,819","$458,409","$62,569","$552,727"
Cherokee,"51,571","$330,667","$23,155","$365,081","51,479","$417,709","$25,596","$459,281","53,558","$245,380","$16,600","$289,677","53,558","$195,119","$18,985","$217,904","53,375","$247,347","$33,939","$289,211"
Childress,"6,828","$61,261","$3,450","$67,444","6,729","$45,649","$2,800","$55,796","7,052","$38,116",$800,"$53,976","7,052","$71,699","$5,550","$81,503","7,007","$141,497","$7,798","$155,959"
Clay,"10,507","$47,644","$2,980","$58,104","10,153","$29,347","$5,395","$41,372","10,317","$28,964","$1,625","$37,219","10,317","$32,432","$2,295","$43,788","10,428","$34,861","$2,850","$46,255"
Cochran,"2,536","$5,805",$500,"$16,872","2,549","$26,087","$1,700","$34,047","2,890","$11,039","$1,200","$13,539","2,890","$6,416","$2,300","$15,343","2,931","$19,152","$1,700","$24,679"
Coke,"3,304","$13,050",$0,"$18,504","3,310","$16,104",$0,"$22,036","3,400","$39,059",$400,"$40,459","3,400","$33,581","$1,440","$36,021","3,340","$7,900",$400,"$9,899"
Coleman,"7,753","$31,847","$5,300","$49,479","7,687","$39,200","$5,200","$47,607","8,041","$29,870","$1,700","$37,917","8,041","$31,814","$3,600","$38,979","8,483","$36,226","$7,484","$48,869"
Collin,"1,190,111","$4,117,899","$2,236,342","$7,990,768","1,121,133","$4,124,436","$2,000,039","$7,329,321","1,047,901","$3,805,117","$1,786,624","$6,791,130","1,047,901","$3,978,669","$1,490,464","$6,787,700","1,018,952","$4,335,787","$2,011,938","$7,792,404"
Collingsworth,"2,554","$6,829",$430,"$9,801","2,602","$66,876",$250,"$70,876","2,802","$13,216",$0,"$14,216","2,802","$8,808",$0,"$11,254","2,943","$11,626",$730,"$16,866"
Colorado,"20,713","$4,750","$2,500","$253,570","20,639","$3,500",$500,"$224,324","22,566","$3,058","$1,500","$209,171","22,566","$4,535",$900,"$215,166","21,662","$5,400","$4,400","$212,376"
Comal,"189,592","$949,232","$274,342","$1,264,100","182,669","$652,033","$250,676","$930,762","161,328","$453,334","$208,508","$700,579","161,328","$682,556","$214,226","$933,632","149,993","$623,499","$401,698","$1,071,475"
