county,disposed_2022,disposed_2021,disposed_2020,disposed_2019,disposed_2018,paid_2022,paid_2021,paid_2020,paid_2019,paid_2018
Anderson,513,315,449,240,645,271,829,316,893,299
Andrews,228,107,187,122,303,90,381,126,419,136
Angelina,"1,574",201,"1,193",101,"1,311",113,"2,038",222,"2,301",240
Aransas,296,157,274,107,390,168,563,359,593,190
Archer,138,6,101,9,114,15,169,18,266,20
Armstrong,0,1,30,0,12,1,25,3,30,2
Atascosa,698,881,620,453,720,480,"1,072",664,816,725
Austin,539,129,414,143,643,158,699,196,705,194
Bailey,121,28,99,8,69,5,131,19,166,28
Bandera,390,152,327,123,415,93,513,49,606,62
Bastrop,528,605,434,432,425,515,846,795,991,724
Baylor,12,9,28,9,25,2,42,1,31,4
Bee,681,396,678,274,666,292,578,251,614,292
Bell,"7,577","5,285","5,870","4,239","5,870","4,248","8,394","4,969","8,788","5,396"
Bexar,"31,029","18,135","20,686","11,994","19,965","11,616","34,901","22,194","33,630","23,908"
Blanco,33,4,23,0,72,27,63,38,72,32
Borden,8,0,16,0,14,0,32,0,15,0
Bosque,199,69,182,30,151,32,382,60,375,54
Bowie,"2,238","1,280","1,904","1,445","1,977","1,570","2,189","1,782","2,080","1,462"
Brazoria,"4,839","2,091","4,847","1,756","4,106","1,352","6,942","2,074","7,005","1,734"
Brazos,"4,242","1,842","3,049","1,159","3,066","1,206","4,577","1,527","4,121","1,608"
Brewster,219,23,73,6,90,39,148,28,129,22
Briscoe,11,2,4,2,9,1,12,3,21,0
Brooks,270,3,48,2,101,7,184,46,139,6
Brown,872,467,810,374,780,408,"1,521",488,927,297
Burleson,48,46,424,65,250,78,389,102,401,79
Burnet,815,236,749,386,672,294,774,455,916,485
Caldwell,642,76,463,94,452,200,638,162,726,212
Calhoun,373,114,301,80,375,168,500,151,421,165
Callahan,199,69,302,91,200,36,263,9,178,22
Cameron,"3,169","2,055","2,617","1,446","3,399","1,777","5,074","3,209","6,480","3,060"
Camp,132,0,119,1,82,46,218,117,281,151
Carson,76,6,40,5,41,2,50,0,54,0
Cass,319,74,496,87,337,108,537,182,503,141
Castro,147,0,51,0,118,0,194,3,209,11
Chambers,"1,165",377,"1,681",204,442,233,774,204,878,189
Cherokee,717,87,605,53,470,57,788,90,810,231
Childress,77,7,98,1,321,14,351,33,438,28
Clay,180,19,128,5,116,8,224,12,170,8
Cochran,37,12,27,10,39,19,41,12,12,19
Coke,19,0,45,1,2,2,0,1,9,2
Coleman,68,18,280,9,49,14,69,24,88,18
Collin,"8,749","3,913","9,673","3,523","6,742","3,253","10,637","4,416","9,983","3,992"
Collingsworth,12,1,12,0,12,0,44,3,18,1
Colorado,159,73,182,76,177,51,358,133,388,114
Comal,"1,855",691,"1,444",565,"1,265",637,"2,953","1,197","3,262","1,591"
Comanche,169,95,182,82,207,93,218,70,211,42
Concho,28,2,17,1,40,3,38,2,42,2
Cooke,933,141,815,123,753,159,"1,348",241,"1,346",312
Coryell,587,420,565,343,607,251,862,367,880,281
Cottle,1,0,3,0,15,0,4,1,0,0
Crane,79,13,54,9,68,14,66,13,56,8
Crockett,203,42,164,28,153,22,250,41,224,28
Crosby,8,3,13,3,13,4,34,4,63,10
Culberson,39,0,216,0,31,0,67,2,115,4
Dallam,65,30,133,55,59,27,128,35,46,29
Dallas,"32,462","21,959","25,413","16,605","27,813","18,671","44,459","24,294","45,618","26,736"
Dawson,194,25,157,15,123,15,191,21,212,83
Deaf,431,6,357,9,438,18,504,10,905,8
Delta,109,21,101,5,85,16,122,23,155,28
Denton,"8,767","3,118","7,311","2,813","6,283","2,544","8,491","3,362","9,815","3,509"
DeWitt,314,47,308,58,311,95,509,157,416,138
Dickens,31,7,18,0,12,0,22,15,38,14
Dimmit,178,5,140,0,115,7,253,5,176,13
Donley,47,0,51,0,56,1,177,3,125,1
Duval,122,93,100,55,109,52,203,102,107,23
Eastland,625,294,458,159,339,210,505,248,508,226
Ector,"4,208",748,"4,239",522,"4,396",493,"5,991",537,"6,076",570
Edwards,13,2,43,1,48,1,31,1,40,5
Ellis,"1,661","1,003","1,492",593,"1,495",985,"2,598","1,119","2,647","1,094"
El,"6,903","5,703","12,052","6,693","9,765","5,905","13,134","8,587","12,328","8,534"
Erath,444,163,585,97,508,106,687,159,749,208
Falls,274,95,295,69,250,75,208,95,212,63
Fannin,353,206,428,181,43,92,403,267,328,211
Fayette,378,71,365,75,336,89,400,122,424,152
Fisher,55,13,58,1,50,1,60,5,64,5
Floyd,23,9,37,12,14,2,47,15,82,23
Foard,4,0,0,0,0,9,19,3,14,9
Fort,"4,694","2,051","4,735","1,854","3,861","2,395","7,873","3,137","6,971","3,151"
Franklin,69,8,98,11,68,8,68,16,56,6
Freestone,232,38,254,46,179,44,253,51,384,59
Frio,249,107,220,81,233,46,422,123,612,166
Gaines,232,38,279,47,374,51,292,64,238,57
Galveston,"8,063","3,309","6,477","2,627","5,524","2,433","6,721","3,985","6,518","3,067"
Garza,280,6,177,4,154,6,238,13,275,16
Gillespie,669,219,537,128,673,88,747,130,655,113
Glasscock,117,0,53,0,63,0,91,1,138,2
Goliad,199,94,143,36,93,34,120,43,147,53
Gonzales,343,125,391,105,342,91,516,160,634,149
Gray,494,224,292,193,584,151,591,212,560,149
Grayson,"1,826",881,"1,359",613,"1,470",873,"2,494","1,246","2,604","1,251"
Gregg,"2,411",947,"2,231",855,"2,735","1,192","3,673","1,520","3,368","1,573"
Grimes,376,160,464,134,139,83,561,97,245,96
Guadalupe,"1,227",626,"1,249",597,"1,465",751,"1,553",992,"1,424",980
Hale,651,278,367,117,460,184,735,244,870,298
Hall,26,4,145,3,21,0,47,2,24,1
Hamilton,78,27,93,25,84,35,107,40,83,34
Hansford,35,8,21,6,25,6,59,7,31,11
Hardeman,90,8,128,14,142,25,124,29,83,19
Hardin,"1,022",275,900,159,873,165,815,384,590,374
Harris,"45,048","17,234","46,110","14,776","33,507","13,281","43,883","19,658","49,345","23,324"
Harrison,480,337,591,392,564,382,883,535,868,505
Hartley,68,14,85,17,84,12,150,29,147,17
Haskell,66,28,72,36,75,47,92,46,71,44
Hays,"3,964","1,705","2,585","1,289","2,311","1,152","3,973",983,"4,230",956
Hemphill,35,18,18,5,28,10,103,43,115,39
Henderson,"1,002",305,"1,001",401,"1,098",357,"1,136",390,"1,249",538
Hidalgo,"11,381","6,394","8,672","5,408","10,507","7,129","16,141","10,830","15,312","10,254"
Hill,637,294,602,229,753,343,971,394,939,383
Hockley,286,137,248,158,320,131,448,219,505,190
Hood,747,321,803,380,632,284,915,471,989,537
Hopkins,487,191,468,68,672,67,768,80,808,61
Houston,373,234,288,213,267,209,313,215,368,299
Howard,937,180,623,138,649,98,624,147,875,244
Hudspeth,2,7,53,2,44,8,74,33,75,29
Hunt,"1,279",855,"1,170",694,713,460,"1,637",776,"1,714",823
Hutchinson,360,180,375,112,249,64,424,69,337,51
Irion,7,2,7,0,25,0,18,0,48,0
Jack,134,51,142,52,142,48,105,28,138,36
Jackson,435,80,435,54,442,45,444,72,479,75
Jasper,448,200,418,163,319,135,585,214,514,207
Jeff,22,4,4,0,23,5,41,5,40,9
Jefferson,"3,662","1,873","3,642","1,531","2,852",602,"4,706",574,"4,236",395
Jim,20,101,7,5,5,9,62,41,42,10
Jim,331,268,275,88,409,161,535,133,508,10
Johnson,"1,861",737,"1,667",589,"1,821",547,"2,248",894,"2,293","1,098"
Jones,205,96,162,94,239,129,273,153,240,177
Karnes,373,258,240,105,296,123,375,169,235,133
Kaufman,"1,440",855,"1,316",826,"1,288",776,"2,107","1,065","2,036",996
