county,pop_2023,pop_2022,pop_2021,pop_2020,pop_2019,felExp_2023,felExp_2022,felExp_2021,felExp_2020,felExp_2019,misdExp_2023,misdExp_2022,misdExp_2021,misdExp_2020,misdExp_2019,totalExp_2023,totalExp_2022,totalExp_2021,totalExp_2020,totalExp_2019
Anderson,"57,848","57,954","59,120","59,120","58,854","$541,921 ","$330,414 ","$299,489 ","$235,856 ","$320,446 ","$99,530 ","$72,169 ","$59,724 ","$83,625 ","$88,104 ","$686,636 ","$422,371 ","$377,197 ","$369,242 ","$458,368 "
Andrews,"18,773","18,675","19,588","19,588","19,232","$192,147 ","$145,327 ","$148,775 ","$177,629 ","$117,208 ","$45,435 ","$50,086 ","$40,430 ","$35,840 ","$42,325 ","$271,944 ","$228,613 ","$217,800 ","$231,005 ","$185,526 "
Angelina,"86,354","86,554","90,669","90,669","92,353","$248,756 ","$368,012 ","$221,025 ","$230,339 ","$310,224 ","$55,002 ","$44,687 ","$20,776 ","$26,781 ","$43,537 ","$376,045 ","$499,319 ","$333,444 ","$378,059 ","$468,271 "
Aransas,"25,219","24,693","23,649","23,649","23,031","$269,188 ","$243,439 ","$139,748 ","$172,261 ","$192,957 ","$40,797 ","$51,187 ","$30,552 ","$49,742 ","$66,390 ","$350,736 ","$313,267 ","$185,538 ","$234,089 ","$277,457 "
Archer,"8,712","8,517","9,135","9,135","9,625","$36,697 ","$44,757 ","$26,947 ","$37,622 ","$25,516 ","$5,130 ","$4,082 ","$3,800 ","$8,826 ","$6,038 ","$43,896 ","$65,631 ","$32,816 ","$48,667 ","$36,681 "
Armstrong,"1,859","1,823","2,028","2,028","1,949","$2,004 ","$9,300 ","$7,375 ","$4,700 ","$5,000 ","$1,503 ",$600 ,$0 ,$600 ,"$1,700 ","$17,507 ","$10,900 ","$8,375 ","$6,300 ","$8,800 "
Atascosa,"50,320","49,657","51,233","51,233","50,276","$343,657 ","$103,080 ","$139,685 ","$236,354 ","$300,202 ","$102,772 ","$127,976 ","$107,000 ","$144,523 ","$207,245 ","$2,409,351 ","$1,088,529 ","$2,163,341 ","$423,683 ","$562,957 "
Austin,"31,331","30,485","32,344","32,344","31,724","$78,774 ","$59,140 ","$46,318 ","$50,846 ","$37,460 ","$52,221 ","$60,526 ","$73,016 ","$99,181 ","$65,681 ","$150,733 ","$139,402 ","$139,402 ","$169,777 ","$127,537 "
Bailey,"6,777","6,767","7,082","7,082","7,256","$44,660 ","$41,190 ","$47,922 ","$41,973 ","$65,166 ","$20,741 ","$24,911 ","$25,605 ","$9,675 ","$5,550 ","$81,827 ","$79,424 ","$86,762 ","$64,795 ","$101,152 "
Bandera,"22,169","21,937","23,360","23,360","22,874","$26,817 ","$40,598 ","$86,017 ","$101,974 ","$94,852 ","$2,418 ","$2,038 ","$11,200 ","$17,525 ","$12,340 ","$147,659 ","$151,278 ","$151,658 ","$127,354 ","$115,682 "
Bastrop,"107,810","104,146","90,262","90,262","88,296","$590,471 ","$487,385 ","$259,578 ","$598,781 ","$657,688 ","$190,131 ","$142,721 ","$121,312 ","$146,885 ","$229,956 ","$796,261 ","$636,156 ","$389,003 ","$758,236 ","$904,819 "
Baylor,"3,489","3,475","3,754","3,754","3,740","$29,974 ","$14,461 ","$13,955 ","$47,034 ","$50,595 ","$1,700 ","$2,250 ","$2,400 ",$300 ,$400 ,"$32,674 ","$17,711 ","$17,355 ","$48,334 ","$52,240 "
