county,disp_2023,disp_2022,disp_2021,disp_2020,disp_2019,paid_2023,paid_2022,paid_2021,paid_2020,paid_2019
Anderson,909,720,556,440,577,775,593,368,436,494
Andrews,235,210,184,266,329,176,114,183,188,176
Angelina,664,596,671,505,751,705,733,650,567,878
Aransas,312,353,278,188,295,326,316,182,245,186
Archer,62,68,88,57,76,33,32,38,34,42
Armstrong,10,4,3,7,24,7,2,6,6,7
Atascosa,583,503,311,360,555,642,467,256,292,465
Austin,256,183,125,127,158,208,136,91,96,109
Bailey,69,57,74,76,71,40,39,44,47,44
Bandera,296,309,250,244,260,264,246,260,201,193
Bastrop,432,348,255,255,335,870,707,472,512,542
Baylor,55,37,33,39,38,19,18,25,38,40
Bee,184,175,230,169,245,334,292,230,185,256
Bell,"2,104","1,668","1,190","1,451","1,765","1,986","1,628","1,301","1,528","1,642"
Bexar,"17,673","16,812","14,550","12,894","19,101","16,430","14,582","13,135","12,999","17,830"
Blanco,149,130,121,113,129,92,61,82,82,82
Borden,2,1,3,1,0,2,2,5,1,0
Bosque,94,73,111,121,151,79,69,86,101,113
Bowie,"1,766","1,509","1,593","1,588","1,771","2,128","1,288","1,532","1,200","1,385"
Brazoria,"3,199","3,397","2,838","3,013","3,865","2,303","2,382","1,939","2,156","2,733"
Brazos,"1,950","1,786","1,486","1,620","1,905","1,880","1,240",909,"1,125","1,161"
Brewster,45,43,32,29,88,49,27,72,39,72
Briscoe,8,19,9,10,12,4,10,1,5,1
Brooks,58,43,41,56,89,43,39,37,23,73
Brown,"1,042","1,051",767,660,"1,126",778,830,590,544,885
Burleson,280,243,193,199,268,259,258,201,153,239
Burnet,831,582,549,397,472,632,510,594,489,504
Caldwell,325,387,359,331,423,227,217,157,235,258
Calhoun,256,207,163,136,200,258,154,151,169,217
Callahan,101,98,82,107,133,57,62,112,75,96
Cameron,"3,380","3,125","2,416","2,366","2,985","2,544","1,526","1,270","1,404","1,916"
Camp,128,115,301,70,48,104,152,202,52,31
Carson,247,200,120,160,294,143,105,68,104,199
Cass,236,306,348,266,517,200,246,247,199,428
Castro,0,0,0,0,0,56,51,22,25,60
Chambers,850,"1,086",516,423,595,750,740,398,361,478
Cherokee,374,405,348,292,417,275,259,276,202,293
Childress,127,155,71,150,183,144,108,81,118,216
Clay,96,91,88,109,136,68,59,45,60,64
Cochran,27,20,27,32,51,10,19,26,20,61
Coke,17,21,30,15,12,28,13,21,8,11
Coleman,103,95,41,98,144,49,55,46,49,83
Collin,"6,330","6,328","6,446","4,907","6,286","4,691","4,653","4,504","3,916","4,128"
Collingsworth,21,32,27,13,23,20,34,20,19,12
Colorado,204,159,210,207,240,68,119,89,89,131
Comal,621,735,503,505,711,683,537,446,544,644
Comanche,102,99,107,114,173,79,92,81,101,129
Concho,39,30,17,28,52,28,13,4,24,49
Cooke,614,935,716,612,741,363,558,420,416,497
Coryell,776,916,734,542,853,979,946,724,614,789
Cottle,14,17,14,11,13,11,20,6,6,10
Crane,48,62,23,53,35,38,45,24,35,24
Crockett,43,81,45,66,53,27,51,48,40,44
Crosby,9,26,15,21,37,34,11,7,17,22
Culberson,31,34,31,19,33,13,2,8,7,36
Dallam,83,88,57,50,45,87,51,95,53,69
Dallas,"26,613","34,011","29,962","26,315","34,598","32,617","26,893","22,021","17,743","22,642"
Dawson,450,244,165,140,171,272,163,92,89,107
Deaf Smith,280,252,181,221,327,248,198,118,185,280
Delta,122,66,102,55,52,79,46,26,19,43
Denton,"4,848","4,280","3,901","3,408","4,028","3,829","2,912","3,088","2,601","3,147"
DeWitt,286,386,254,225,276,218,262,183,192,234
Dickens,4,8,8,9,13,6,5,8,6,18
Dimmit,64,73,8,61,77,59,41,6,24,57
Donley,22,44,24,32,96,21,32,29,24,62
Duval,122,106,62,67,98,12,197,12,22,60
Eastland,375,523,451,370,547,357,358,307,275,447
Ector,"2,449","2,764","1,938","1,985","2,490","1,706","1,520","1,040","1,218","1,370"
Edwards,278,113,41,9,18,19,18,33,9,8
Ellis,"1,796","1,172","1,096","1,267","1,578","1,347","1,116",806,"1,177",952
El Paso,"6,531","5,475","7,299","5,594","7,595","6,003","5,948","5,361","5,318","6,969"
Erath,239,185,188,208,289,106,0,97,104,155
Falls,235,246,184,143,131,169,188,193,168,134
Fannin,436,579,589,477,436,548,560,794,508,422
Fayette,418,308,201,225,300,218,199,122,161,164
Fisher,42,31,36,9,24,32,26,31,8,16
Floyd,28,51,20,42,45,21,33,11,21,27
Foard,7,5,1,2,0,7,9,2,6,1
Fort Bend,"3,533","3,386","3,334","2,390","3,592","2,631","2,293","1,959","1,841","2,312"
Franklin,162,158,154,151,123,132,128,120,138,96
Freestone,224,177,159,176,157,164,137,110,136,138
Frio,195,163,139,104,212,258,184,103,90,189
Gaines,397,266,162,91,147,254,149,104,70,126
Galveston,"4,391","4,196","2,639","2,606","3,576","3,745","3,592","2,336","2,562","4,354"
Garza,373,255,140,100,113,104,94,58,25,61
Gillespie,451,548,298,269,366,435,430,280,208,256
Glasscock,8,5,14,9,4,10,2,8,6,3
Goliad,103,141,75,55,58,84,116,67,43,48
Gonzales,340,231,227,224,293,267,186,169,182,202
Gray,288,251,245,276,334,263,234,242,292,315
Grayson,"1,861","1,830","1,482","1,430","1,672","1,162","1,265","1,000","1,090","1,138"
Gregg,"2,076","1,457","1,383","1,332","1,467","1,450","1,341",838,962,"1,044"
Grimes,207,197,176,153,237,179,177,111,118,175
Guadalupe,641,575,533,494,636,702,551,498,523,573
Hale,324,348,307,222,304,351,267,249,268,256
Hall,53,65,53,66,93,62,45,47,61,99
Hamilton,57,75,105,104,126,0,41,66,74,86
Hansford,20,17,32,46,21,16,14,25,15,16
Hardeman,56,56,14,34,52,68,40,10,36,61
Hardin,"1,036",847,367,453,555,670,523,257,338,479
Harris,"53,715","53,773","37,879","26,661","35,269","43,775","37,967","23,848","32,267","35,976"
Harrison,568,583,451,497,706,479,435,343,405,415
Hartley,25,40,51,74,103,44,27,43,40,61
Haskell,98,61,55,44,79,88,49,60,34,44
Hays,"2,555","1,780","1,111","1,064","1,693","1,148","1,136",931,936,"1,118"
Hemphill,14,20,14,19,27,9,12,15,15,26
Henderson,"1,105","1,094","1,094",935,"1,089","1,046","1,352","1,292",945,875
Hidalgo,"7,151","4,963","3,315","4,408","6,097","4,234","2,492","2,093","3,171","4,099"
Hill,560,593,530,525,577,402,335,392,341,399
Hockley,174,177,178,234,409,119,129,194,198,322
Hood,543,462,381,295,385,376,362,318,256,277
Hopkins,899,848,967,733,901,673,712,515,383,648
Houston,317,273,223,263,364,392,295,273,320,525
Howard,190,212,256,242,323,375,210,237,243,285
Hudspeth,118,311,328,241,296,48,52,124,95,125
Hunt,699,581,470,488,669,702,652,598,674,848
Hutchinson,143,193,186,154,160,321,304,139,141,137
Irion,4,17,10,7,8,20,10,4,8,4
Jack,62,74,56,65,68,51,54,34,51,59
Jackson,419,408,266,291,301,298,265,174,208,231
Jasper,256,243,207,139,317,446,384,315,277,408
Jeff Davis,8,15,8,10,18,12,7,8,11,11
Jefferson,"3,057","3,561","3,189","2,435","3,143","1,847","2,056","1,794","1,544","1,975"
Jim Hogg,114,30,30,4,8,4,88,16,5,13
Jim Wells,186,114,96,118,367,183,111,50,102,243
Johnson,"1,354","1,384","1,166",988,"1,305",990,"1,056",780,784,"1,055"
Jones,272,193,202,171,245,133,120,134,112,135
Karnes,86,71,31,7,1,156,120,69,81,92
Kaufman,"1,350","1,083","1,358","1,273","1,219","1,411","1,217","1,032","1,111","1,031"
Kendall,572,703,568,457,489,332,502,400,223,332
Kenedy,176,79,54,47,73,110,30,37,32,41
Kent,3,7,5,7,4,4,2,4,5,8
Kerr,982,"1,114",788,668,"1,114",705,833,614,293,760
Kimble,189,79,78,58,77,99,28,50,25,42
King,0,1,1,2,0, ,0, , , 
Kinney,414,0,20,39,20,29,18,19,21,22
Kleberg,900,731,305,388,415,584,508,270,308,411
Knox,25,20,20,35,15,13,9,13,24,9
Lamar,686,608,669,437,728,493,439,470,330,507
Lamb,112,150,133,100,160,91,128,115,133,147
Lampasas,251,231,187,229,243,168,179,127,144,175
La Salle,73,83,60,67,94,92,105,44,39,73
Lavaca,134,107,95,84,126,146,21,89,77,123
Lee,346,296,327,244,387,306,211,281,224,318
Leon,147,192,184,138,221,152,173,143,93,145
Liberty,"1,131",818,488,551,736,829,795,542,561,615
Limestone,318,343,341,304,374,156,199,199,214,242
Lipscomb,12,4,2,3,17,10,16,13,6,15
Live Oak,155,134,165,102,172,160,126,118,91,152
Llano,335,260,203,130,216,217,174,296,104,184
Loving,4,6,3,4,0,0,3,2,3,0
Lubbock,"3,826",421,"2,233","2,986","3,513","2,942","3,377","3,574","4,037","3,921"
Lynn,164,60,71,18,35,73,41,42,11,15
McCulloch,206,144,135,71,146,183,125,104,62,137
McLennan,"2,839","2,491","1,962","2,229","2,680","2,615","2,414","2,166","2,111","2,438"
McMullen,38,19,6,3,27,43,23,15,14,37
Madison,291,226,124,185,224,262,140,108,171,139
Marion,167,155,146,129,161,117,120,77,86,109
Martin,29,28,29,22,32,41,17,17,21,18
Mason,23,19,21,11,33,27,10,13,7,26
Matagorda,478,439,432,307,528,444,452,355,364,529
Maverick,165,59,66,96,136,117,50,31,25,98
Medina,417,550,530,398,478,688,765,475,337,604
Menard,33,31,15,13,36,16,22,4,7,21
Midland,"1,937","1,906","1,879","1,924","2,455","1,774","1,705","1,629","1,593","1,855"
Milam,781,652,447,283,593,624,394,367,259,411
Mills,104,88,99,77,65,92,69,46,54,47
Mitchell,193,150,132,116,111,148,105,88,68,76
Montague,192,263,290,200,293,122,193,192,130,230
Montgomery,"7,152","7,442","6,490","5,360","6,499","4,050","4,023","2,866","3,977","4,351"
Moore,284,388,194,115,185,281,359,303,70,79
Morris,97,210,157,157,182,75,127,124,103,103
Motley,2,1,0,8,5,6,19,3,6,5
Nacogdoches,864,757,512,489,667,655,602,417,376,489
Navarro,819,956,867,"1,507","1,151",622,651,674,821,685
Newton,145,142,139,82,197,48,79,125,61,141
Nolan,664,600,408,326,424,542,464,336,250,287
Nueces,"6,840","6,263","5,162","5,059","6,333","5,581","4,827","3,403","3,370","4,507"
Ochiltree,66,87,79,59,96,76,67,63,43,90
Oldham,98,98,84,77,101,37,17,19,37,58
Orange,742,776,741,615,766,507,547,488,461,556
Palo Pinto,343,564,106,293,498,253,405,69,310,375
Panola,439,356,176,374,461,312,261,132,215,306
Parker,"1,360","1,382","1,105","1,094","1,229",701,941,813,859,"1,097"
Parmer,81,68,62,66,89,29,42,25,36,47
Pecos,251,329,134,176,247,204,250,145,127,156
Polk,"1,063","1,025",607,597,891,735,613,428,416,529
Potter,"1,888","1,843","1,814","1,363","2,162","1,604","1,529","1,627","1,506","1,986"
Presidio,2,22,13,26,36,2,26,10,14,36
Rains,211,189,184,92,177,53,97,92,51,97
Randall,"1,369","1,073",890,792,"1,200","1,141",771,716,667,949
Reagan,42,70,68,56,63,31,67,40,36,39
Real,68,36,29,30,19,54,32,21,21,26
Red River,260,304,177,189,259,180,255,159,137,182
Reeves,190,209,203,213,293,147,216,109,95,209
Refugio,281,359,265,232,179,178,267,296,123,170
Roberts,0,29,0,0,3,0,4, ,0,0
Robertson,0,294,223,158,258,244,230,141,139,221
Rockwall,"1,114","1,197","1,166",981,"1,281",879,826,731,668,866
Runnels,160,130,71,78,178,135,121,40,64,131
Rusk,526,456,294,255,387,316,308,188,155,222
Sabine,175,116,145,101,178,99,122,84,50,93
San Augustine,208,211,126,103,65,147,141,110,63,61
San Jacinto,362,507,253,299,359,229,327,171,270,242
San Patricio,675,740,588,517,608,"1,229","1,208",383,399,452
San Saba,51,35,47,23,53,53,42,46,21,44
Schleicher,18,15,30,11,15,19,15,25,6,16
Scurry,86,94,133,154,98,115,146,160,108,66
Shackelford,40,29,34,6,37,29,21,18,8,16
Shelby,245,298,439,367,754,167,119,163,230,618
Sherman,21,18,45,30,32,51,66,51,46,60
Smith,"2,710","2,365","1,698","1,823","2,225","2,110","1,717","1,359","1,427","1,638"
Somervell,77,78,68,48,73,63,39,40,40,53
Starr,225,201,280,296,483,431,325,52,122,177
Stephens,83,141,115,110,119,122,106,85,82,90
Sterling,23,14,13,27,13,38,31,14,19,9
Stonewall,11,6,9,12,5,10,5,4,11,5
Sutton,43,54,47,55,41,32,38,22,20,22
Swisher,58,59,50,34,47,50,34,25,30,30
Tarrant,"26,011","22,472","18,556","14,962","19,854","20,629","17,425","14,114","14,103","15,760"
Taylor,"1,795","1,702","1,712","2,031","2,168","1,807","1,675","1,413","1,819","2,007"
Terrell,0,0,2,6,22,23, ,3,1,8
Terry,278,370,204,195,237,188,222,172,167,226
Throckmorton,24,15,2,3,3,24,14,12,16,21
Titus,443,546,763,111,250,352,497,377,103,147
Tom Green,"1,241","1,456","1,097","1,036","1,434","1,747","1,378",955,969,"1,279"
Travis,"9,848","7,799","6,991","9,437","13,789","12,052","10,272","9,878","10,401","11,736"
Trinity,98,49,2,21,25,175,127,100,89,162
Tyler,291,203,205,115,287,261,146,169,89,294
Upshur,357,94,349,258,393,278,231,231,189,302
Upton,19,46,42,43,42,16,66,40,42,25
Uvalde,753,541,351,372,338,537,428,275,277,227
Val Verde,293,287,180,260,387,258,272,188,143,257
Van Zandt,541,496,529,543,782,363,380,401,349,610
Victoria,954,"1,100",873,737,"1,075",847,"1,023",887,806,887
Walker,650,690,476,399,518,513,545,270,244,403
Waller,527,549,302,273,509,362,368,139,168,355
Ward,207,200,177,191,210,138,146,150,164,164
Washington,410,362,334,293,339,405,311,502,444,495
Webb,"1,489","1,551","1,741","1,101","1,462","1,877","1,971","2,238","1,436","1,694"
Wharton,866,867,657,571,780,503,421,331,312,355
Wheeler,210,126,85,48,110,288,168,117,43,116
Wichita,"2,185","2,303","1,345","1,372","2,003","3,079","2,229","1,308","1,361","1,835"
Wilbarger,244,165,130,136,157,191,148,117,139,137
Willacy,252,212,185,225,201,148,140,50,163,200
Williamson,"2,722","2,659","1,705","2,060","3,275","1,737","1,688","1,191","1,569","2,058"
Wilson,389,314,265,193,363,422,265,145,147,256
Winkler,52,73,44,47,79,74,75,65,57,104
Wise,"1,032",898,846,741,844,555,558,494,467,489
Wood,365,376,312,295,356,243,250,183,183,262
Yoakum,49,56,28,38,77,33,28,19,32,73
Young,287,343,213,260,247,170,200,128,145,167
Zapata,13,28,32,24,48,19,26,29,34,37
Zavala,56,0,7,26,62,37,19,13,11,56
