county,disp_2022,disp_2021,disp_2020,disp_2019,disp_2018,paid_2022,paid_2021,paid_2020,paid_2019,paid_2018,paidrate_2022,paidrate_all
King,1,1,2,0,0,0, , , , ,0.0%,0.0%
Roberts,29,0,0,3,0,4, ,0,0,0,13.8%,12.5%
Briscoe,19,9,10,12,23,10,1,5,1,4,52.6%,28.8%
Hudspeth,311,328,241,296,251,52,124,95,125,104,16.7%,35.0%
Oldham,98,84,77,101,78,17,19,37,58,37,17.3%,38.4%
Garza,255,140,100,113,103,94,58,25,61,55,36.9%,41.2%
Erath,185,188,208,289,250,0,97,104,155,142,0.0%,44.5%
Edwards,113,41,9,18,25,18,33,9,8,24,15.9%,44.7%
Wharton,867,657,571,780,836,421,331,312,355,322,48.6%,46.9%
Archer,68,88,57,76,73,32,38,34,42,32,47.1%,49.2%
Kimble,79,78,58,77,147,28,50,25,42,74,35.4%,49.9%
Terrell,0,2,6,22,14, ,3,1,8,10,#VALUE!,50.0%
Starr,201,280,296,483,438,325,52,122,177,186,161.7%,50.8%
Parmer,68,62,66,89,82,42,25,36,47,39,61.8%,51.5%
Delta,66,102,55,52,70,46,26,19,43,51,69.7%,53.6%
Glasscock,5,14,9,4,9,2,8,6,3,3,40.0%,53.7%
Colorado,159,210,207,240,288,119,89,89,131,166,74.8%,53.8%
Clay,91,88,109,136,133,59,45,60,64,72,64.8%,53.9%
Culberson,34,31,19,33,35,2,8,7,36,29,5.9%,53.9%
Sutton,54,47,55,41,37,38,22,20,22,29,70.4%,56.0%
Ector,"2,764","1,938","1,985","2,490","2,391","1,520","1,040","1,218","1,370","1,406",55.0%,56.7%
Caldwell,387,359,331,423,365,217,157,235,258,192,56.1%,56.8%
Loving,6,3,4,0,1,3,2,3,0,0,50.0%,57.1%
Rains,189,184,92,177,184,97,92,51,97,138,51.3%,57.5%
Cameron,"3,125","2,416","2,366","2,985","3,318","1,526","1,270","1,404","1,916","2,075",48.8%,57.6%
Hansford,17,32,46,21,35,14,25,15,16,18,82.4%,58.3%
Young,343,213,260,247,318,200,128,145,167,166,58.3%,58.4%
Dimmit,73,8,61,77,90,41,6,24,57,53,56.2%,58.6%
Kenedy,79,54,47,73,46,30,37,32,41,37,38.0%,59.2%
Jefferson,"3,561","3,189","2,435","3,143","2,919","2,056","1,794","1,544","1,975","1,725",57.7%,59.6%
Swisher,59,50,34,47,62,34,25,30,30,33,57.6%,60.3%
Wise,898,846,741,844,799,558,494,467,489,493,62.1%,60.6%
Mason,19,21,11,33,77,10,13,7,26,42,52.6%,60.9%
Cherokee,405,348,292,417,470,259,276,202,293,148,64.0%,61.0%
Menard,31,15,13,36,36,22,4,7,21,26,71.0%,61.1%
Floyd,51,20,42,45,43,33,11,21,27,31,64.7%,61.2%
Carson,200,120,160,294,228,105,68,104,199,141,52.5%,61.6%
Fayette,308,201,225,300,354,199,122,161,164,212,64.6%,61.8%
Coleman,95,41,98,144,132,55,46,49,83,83,57.9%,62.0%
Knox,20,20,35,15,31,9,13,24,9,20,45.0%,62.0%
Hopkins,848,967,733,901,863,712,515,383,648,419,84.0%,62.1%
Shelby,298,439,367,754,346,119,163,230,618,240,39.9%,62.2%
Montgomery,"7,442","6,490","5,360","6,499","6,243","4,023","2,866","3,977","4,351","4,715",54.1%,62.2%
Rusk,456,294,255,387,326,308,188,155,222,201,67.5%,62.5%
Polk,"1,025",607,597,891,854,613,428,416,529,503,59.8%,62.6%
Blanco,130,121,113,129,177,61,82,82,82,117,46.9%,63.3%
Jones,193,202,171,245,168,120,134,112,135,124,62.2%,63.8%
Wood,376,312,295,356,468,250,183,183,262,276,66.5%,63.9%
Hidalgo,"4,963","3,315","4,408","6,097","6,004","2,492","2,093","3,171","4,099","4,036",50.2%,64.1%
Bailey,57,74,76,71,94,39,44,47,44,65,68.4%,64.2%
Cooke,935,716,612,741,698,558,420,416,497,498,59.7%,64.5%
Waller,549,302,273,509,468,368,139,168,355,330,67.0%,64.7%
Sabine,116,145,101,178,155,122,84,50,93,101,105.2%,64.7%
Mills,88,99,77,65,71,69,46,54,47,44,78.4%,65.0%
Hamilton,75,105,104,126,141,41,66,74,86,92,54.7%,65.2%
Limestone,343,341,304,374,308,199,199,214,242,237,58.0%,65.3%
Kendall,703,568,457,489,389,502,400,223,332,246,71.4%,65.3%
Brazos,"1,786","1,486","1,620","1,905","1,776","1,240",909,"1,125","1,161","1,172",69.4%,65.4%
Dawson,244,165,140,171,168,163,92,89,107,130,66.8%,65.4%
Fort Bend,"3,386","3,334","2,390","3,592","3,950","2,293","1,959","1,841","2,312","2,499",67.7%,65.5%
Coke,21,30,15,12,21,13,21,8,11,12,61.9%,65.7%
Reagan,70,68,56,63,81,67,40,36,39,40,95.7%,65.7%
Somervell,78,68,48,73,72,39,40,40,53,51,50.0%,65.8%
Navarro,956,867,"1,507","1,151","1,099",651,674,821,685,847,68.1%,65.9%
Marion,155,146,129,161,146,120,77,86,109,94,77.4%,65.9%
Newton,142,139,82,197,151,79,125,61,141,63,55.6%,66.0%
Morris,210,157,157,182,150,127,124,103,103,108,60.5%,66.0%
Lynn,60,71,18,35,42,41,42,11,15,41,68.3%,66.4%
Williamson,"2,659","1,705","2,060","3,275","2,823","1,688","1,191","1,569","2,058","1,811",63.5%,66.4%
Rockwall,"1,197","1,166",981,"1,281","1,187",826,731,668,866,797,69.0%,66.9%
Harrison,583,451,497,706,827,435,343,405,415,466,74.6%,67.4%
Stonewall,6,9,12,5,14,5,4,11,5,6,83.3%,67.4%
Andrews,210,184,266,329,256,114,183,188,176,182,54.3%,67.7%
Mitchell,150,132,116,111,101,105,88,68,76,77,70.0%,67.9%
Kerr,"1,114",788,668,"1,114","1,063",833,614,293,760,722,74.8%,67.9%
Armstrong,4,3,7,24,6,2,6,6,7,9,50.0%,68.2%
Irion,17,10,7,8,2,10,4,8,4,4,58.8%,68.2%
Titus,546,763,111,250,350,497,377,103,147,255,91.0%,68.3%
Duval,106,62,67,98,169,197,12,22,60,52,185.8%,68.3%
Maverick,59,66,96,136,104,50,31,25,98,112,84.7%,68.5%
Crosby,26,15,21,37,39,11,7,17,22,38,42.3%,68.8%
Austin,183,125,127,158,174,136,91,96,109,97,74.3%,69.0%
Gaines,266,162,91,147,149,149,104,70,126,116,56.0%,69.3%
Hill,593,530,525,577,619,335,392,341,399,509,56.5%,69.5%
Collin,"6,328","6,446","4,907","6,286","5,881","4,653","4,504","3,916","4,128","3,671",73.5%,69.9%
Nueces,"6,263","5,162","5,059","6,333","5,763","4,827","3,403","3,370","4,507","4,015",77.1%,70.4%
San Jacinto,507,253,299,359,431,327,171,270,242,294,64.5%,70.5%
Val Verde,287,180,260,387,530,272,188,143,257,300,94.8%,70.6%
Willacy,212,185,225,201,149,140,50,163,200,133,66.0%,70.6%
Dallas,"34,011","29,962","26,315","34,598","36,417","26,893","22,021","17,743","22,642","24,685",79.1%,70.7%
Lampasas,231,187,229,243,305,179,127,144,175,220,77.5%,70.7%
Hays,"1,780","1,111","1,064","1,693","1,475","1,136",931,936,"1,118",934,63.8%,71.0%
Jackson,408,266,291,301,256,265,174,208,231,205,65.0%,71.2%
Walker,690,476,399,518,429,545,270,244,403,326,79.0%,71.2%
Shackelford,29,34,6,37,19,21,18,8,16,26,72.4%,71.2%
Lamar,608,669,437,728,768,439,470,330,507,545,72.2%,71.4%
Brazoria,"3,397","2,838","3,013","3,865","3,327","2,382","1,939","2,156","2,733","2,528",70.1%,71.4%
Donley,44,24,32,96,63,32,29,24,62,38,72.7%,71.4%
Grayson,"1,830","1,482","1,430","1,672","1,489","1,265","1,000","1,090","1,138","1,181",69.1%,71.8%
Milam,652,447,283,593,481,394,367,259,411,335,60.4%,71.9%
Orange,776,741,615,766,716,547,488,461,556,550,70.5%,72.0%
Brooks,43,41,56,89,107,39,37,23,73,70,90.7%,72.0%
Crockett,81,45,66,53,61,51,48,40,44,38,63.0%,72.2%
Concho,30,17,28,52,29,13,4,24,49,23,43.3%,72.4%
Panola,356,176,374,461,349,261,132,215,306,329,73.3%,72.4%
Montague,263,290,200,293,260,193,192,130,230,202,73.4%,72.5%
Reeves,209,203,213,293,227,216,109,95,209,202,103.3%,72.6%
Stephens,141,115,110,119,176,106,85,82,90,117,75.2%,72.6%
Kent,7,5,7,4,3,2,4,5,8, ,28.6%,73.1%
Wilson,314,265,193,363,342,265,145,147,256,269,84.4%,73.3%
