county,disp_2023,disp_2022,disp_2021,disp_2020,disp_2019,paid_2023,paid_2022,paid_2021,paid_2020,paid_2019
Anderson,585,513,449,645,829,303,315,240,271,316
Andrews,249,228,187,303,381,104,107,122,90,126
Angelina,"1,685","1,574","1,193","1,311","2,038",176,201,101,113,222
Aransas,295,296,274,390,563,136,157,107,168,359
Archer,172,138,101,114,169,8,6,9,15,18
Armstrong,12,0,30,12,25,5,1,0,1,3
Atascosa,579,698,620,720,"1,072",612,881,453,480,664
Austin,435,539,414,643,699,146,129,143,158,196
Bailey,195,121,99,69,131,14,28,8,5,19
Bandera,376,390,327,415,513,126,152,123,93,49
Bastrop,662,528,434,425,846,876,605,432,515,795
Baylor,34,12,28,25,42,8,9,9,2,1
Bee,473,681,678,666,578,368,396,274,292,251
Bell,"7,614","7,577","5,870","5,870","8,394","5,439","5,285","4,239","4,248","4,969"
Bexar,"31,337","31,029","20,686","19,965","34,901","20,889","18,135","11,994","11,616","22,194"
Blanco,95,33,23,72,63,48,4,0,27,38
Borden,6,8,16,14,32,0,0,0,0,0
Bosque,200,199,182,151,382,71,69,30,32,60
Bowie,"2,740","2,238","1,904","1,977","2,189","1,347","1,280","1,445","1,570","1,782"
Brazoria,"4,825","4,839","4,847","4,106","6,942","2,083","2,091","1,756","1,352","2,074"
Brazos,"4,278","4,242","3,049","3,066","4,577","2,522","1,842","1,159","1,206","1,527"
Brewster,124,219,73,90,148,44,23,6,39,28
Briscoe,17,11,4,9,12,3,2,2,1,3
Brooks,230,270,48,101,184,9,3,2,7,46
Brown,"1,320",872,810,780,"1,521",519,467,374,408,488
Burleson,72,48,424,250,389,88,46,65,78,102
Burnet,"1,236",815,749,672,774,670,236,386,294,455
Caldwell,906,642,463,452,638,351,76,94,200,162
Calhoun,247,373,301,375,500,83,114,80,168,151
Callahan,567,199,302,200,263,87,69,91,36,9
Cameron,"3,818","3,169","2,617","3,399","5,074","3,075","2,055","1,446","1,777","3,209"
Camp,59,132,119,82,218,32,0,1,46,117
Carson,20,76,40,41,50,4,6,5,2,0
Cass,333,319,496,337,537,97,74,87,108,182
Castro,111,147,51,118,194,7,0,0,0,3
Chambers,"1,239","1,165","1,681",442,774,601,377,204,233,204
Cherokee,888,717,605,470,788,69,87,53,57,90
Childress,56,77,98,321,351,9,7,1,14,33
Clay,205,180,128,116,224,10,19,5,8,12
Cochran,12,37,27,39,41,3,12,10,19,12
Coke,5,19,45,2,0,7,0,1,2,1
Coleman,68,68,280,49,69,18,18,9,14,24
Collin,"9,915","8,749","9,673","6,742","10,637","4,374","3,913","3,523","3,253","4,416"
Collingsworth,8,12,12,12,44,2,1,0,0,3
Colorado,277,159,182,177,358,94,73,76,51,133
Comal,"1,739","1,855","1,444","1,265","2,953",705,691,565,637,"1,197"
Comanche,222,169,182,207,218,119,95,82,93,70
Concho,15,28,17,40,38,0,2,1,3,2
Cooke,555,933,815,753,"1,348",73,141,123,159,241
Coryell,642,587,565,607,862,398,420,343,251,367
Cottle,0,1,3,15,4,1,0,0,0,1
Crane,44,79,54,68,66,17,13,9,14,13
Crockett,136,203,164,153,250,24,42,28,22,41
Crosby,13,8,13,13,34,24,3,3,4,4
Culberson,32,39,216,31,67,1,0,0,0,2
Dallam,81,65,133,59,128,43,30,55,27,35
Dallas,"19,544","32,462","25,413","27,813","44,459","22,721","21,959","16,605","18,671","24,294"
Dawson,219,194,157,123,191,30,25,15,15,21
Deaf Smith,439,431,357,438,504,2,6,9,18,10
Delta,86,109,101,85,122,35,21,5,16,23
Denton,"7,290","8,767","7,311","6,283","8,491","3,432","3,118","2,813","2,544","3,362"
DeWitt,295,314,308,311,509,28,47,58,95,157
Dickens,20,31,18,12,22,3,7,0,0,15
Dimmit,236,178,140,115,253,51,5,0,7,5
Donley,73,47,51,56,177,0,0,0,1,3
Duval,185,122,100,109,203,3,93,55,52,102
Eastland,552,625,458,339,505,171,294,159,210,248
Ector,"3,870","4,208","4,239","4,396","5,991","1,029",748,522,493,537
Edwards,4,13,43,48,31,1,2,1,1,1
Ellis,"1,575","1,661","1,492","1,495","2,598",928,"1,003",593,985,"1,119"
El Paso,"8,012","6,903","12,052","9,765","13,134","6,150","5,703","6,693","5,905","8,587"
Erath,304,444,585,508,687,59,163,97,106,159
Falls,195,274,295,250,208,83,95,69,75,95
Fannin,354,353,428,43,403,205,206,181,92,267
Fayette,346,378,365,336,400,83,71,75,89,122
Fisher,86,55,58,50,60,4,13,1,1,5
Floyd,42,23,37,14,47,8,9,12,2,15
Foard,3,4,0,0,19,0,0,0,9,3
Fort Bend,"4,349","4,694","4,735","3,861","7,873","2,276","2,051","1,854","2,395","3,137"
Franklin,62,69,98,68,68,10,8,11,8,16
Freestone,228,232,254,179,253,33,38,46,44,51
Frio,234,249,220,233,422,142,107,81,46,123
Gaines,170,232,279,374,292,57,38,47,51,64
Galveston,"6,066","8,063","6,477","5,524","6,721","3,016","3,309","2,627","2,433","3,985"
Garza,231,280,177,154,238,0,6,4,6,13
Gillespie,521,669,537,673,747,185,219,128,88,130
