county,disp_2022,disp_2021,disp_2020,disp_2019,disp_2018,paid_2022,paid_2021,paid_2020,paid_2019,paid_2018
Anderson,513,449,645,829,893,315,240,271,316,299
Andrews,228,187,303,381,419,107,122,90,126,136
Angelina,"1,574","1,193","1,311","2,038","2,301",201,101,113,222,240
Aransas,296,274,390,563,593,157,107,168,359,190
Archer,138,101,114,169,266,6,9,15,18,20
Armstrong,0,30,12,25,30,1,0,1,3,2
Atascosa,698,620,720,"1,072",816,881,453,480,664,725
Austin,539,414,643,699,705,129,143,158,196,194
Bailey,121,99,69,131,166,28,8,5,19,28
Bandera,390,327,415,513,606,152,123,93,49,62
Bastrop,528,434,425,846,991,605,432,515,795,724
Baylor,12,28,25,42,31,9,9,2,1,4
Bee,681,678,666,578,614,396,274,292,251,292
Bell,"7,577","5,870","5,870","8,394","8,788","5,285","4,239","4,248","4,969","5,396"
Bexar,"31,029","20,686","19,965","34,901","33,630","18,135","11,994","11,616","22,194","23,908"
Blanco,33,23,72,63,72,4,0,27,38,32
Borden,8,16,14,32,15,0,0,0,0,0
Bosque,199,182,151,382,375,69,30,32,60,54
Bowie,"2,238","1,904","1,977","2,189","2,080","1,280","1,445","1,570","1,782","1,462"
Brazoria,"4,839","4,847","4,106","6,942","7,005","2,091","1,756","1,352","2,074","1,734"
Brazos,"4,242","3,049","3,066","4,577","4,121","1,842","1,159","1,206","1,527","1,608"
Brewster,219,73,90,148,129,23,6,39,28,22
Briscoe,11,4,9,12,21,2,2,1,3,0
Brooks,270,48,101,184,139,3,2,7,46,6
Brown,872,810,780,"1,521",927,467,374,408,488,297
Burleson,48,424,250,389,401,46,65,78,102,79
Burnet,815,749,672,774,916,236,386,294,455,485
Caldwell,642,463,452,638,726,76,94,200,162,212
Calhoun,373,301,375,500,421,114,80,168,151,165
Callahan,199,302,200,263,178,69,91,36,9,22
Cameron,"3,169","2,617","3,399","5,074","6,480","2,055","1,446","1,777","3,209","3,060"
Camp,132,119,82,218,281,0,1,46,117,151
Carson,76,40,41,50,54,6,5,2,0,0
Cass,319,496,337,537,503,74,87,108,182,141
Castro,147,51,118,194,209,0,0,0,3,11
Chambers,"1,165","1,681",442,774,878,377,204,233,204,189
Cherokee,717,605,470,788,810,87,53,57,90,231
Childress,77,98,321,351,438,7,1,14,33,28
